x,y,psi
-11.722203,-20.842177,-182.000000
-12.022020,-20.831707,-182.000000
-12.321837,-20.821238,-182.000000
-12.610216,-20.738546,-196.000000
-12.870023,-20.588546,-210.000000
-13.158402,-20.505855,-196.000000
-13.458219,-20.495385,-182.000000
-13.751663,-20.557759,-168.000000
-14.021302,-20.689270,-154.000000
-14.304957,-20.786941,-161.000000
-14.603816,-20.813087,-175.000000
-14.900122,-20.766157,-189.000000
-15.196429,-20.719227,-189.000000
-15.484807,-20.636535,-196.000000
-15.773186,-20.553844,-196.000000
-16.049337,-20.436625,-203.000000
-16.325489,-20.319406,-203.000000
-16.565079,-20.138861,-217.000000
-16.753875,-19.905717,-231.000000
-16.880661,-19.633825,-245.000000
-16.937903,-19.339337,-259.000000
-16.922203,-19.039748,-273.000000
-16.834491,-18.752857,-287.000000
-16.746780,-18.465965,-287.000000
-16.731079,-18.166376,-273.000000
-16.643367,-17.879485,-287.000000
-16.555656,-17.592593,-287.000000
-16.539955,-17.293005,-273.000000
-16.597198,-16.998516,-259.000000
-16.618125,-16.699247,-266.000000
-16.710830,-16.413930,-252.000000
-16.731757,-16.114661,-266.000000
-16.679662,-15.819219,-280.000000
-16.663961,-15.519630,-273.000000
-16.721204,-15.225142,-259.000000
-16.742131,-14.925872,-266.000000
-16.799374,-14.631384,-259.000000
-16.856617,-14.336896,-259.000000
-16.840916,-14.037307,-273.000000
-16.788821,-13.741865,-280.000000
-16.666800,-13.467801,-294.000000
-16.579089,-13.180910,-287.000000
-16.563388,-12.881321,-273.000000
-16.620631,-12.586833,-259.000000
-16.747416,-12.314941,-245.000000
-16.936212,-12.081797,-231.000000
-17.095188,-11.827382,-238.000000
-17.254164,-11.572968,-238.000000
-17.413140,-11.318553,-238.000000
-17.413140,-11.318553,-238.000000
-17.505845,-11.033236,-252.000000
-17.526772,-10.733967,-266.000000
-17.474677,-10.438525,-280.000000
-17.422583,-10.143083,-280.000000
-17.443510,-9.843813,-266.000000
-17.427809,-9.544225,-273.000000
-17.485052,-9.249736,-259.000000
-17.611837,-8.977844,-245.000000
-17.704542,-8.692527,-252.000000
-17.797247,-8.407210,-252.000000
-17.889952,-8.121893,-252.000000
-17.910879,-7.822624,-266.000000
-17.858785,-7.527182,-280.000000
-17.736764,-7.253118,-294.000000
-17.684669,-6.957676,-280.000000
-17.632575,-6.662233,-280.000000
-17.544863,-6.375342,-287.000000
-17.457152,-6.088450,-287.000000
-17.405058,-5.793008,-280.000000
-17.425984,-5.493739,-266.000000
-17.446911,-5.194470,-266.000000
-17.394817,-4.899027,-280.000000
-17.307105,-4.612136,-287.000000
-17.185084,-4.338072,-294.000000
-17.097373,-4.051181,-287.000000
-17.009661,-3.764289,-287.000000
-16.993961,-3.464701,-273.000000
-17.051203,-3.170212,-259.000000
-17.072130,-2.870943,-266.000000
-17.093057,-2.571674,-266.000000
-17.113984,-2.272405,-266.000000
-17.134911,-1.973136,-266.000000
-17.155838,-1.673866,-266.000000
-17.103744,-1.378424,-280.000000
-16.981723,-1.104360,-294.000000
-16.797024,-0.867957,-308.000000
-16.560621,-0.683259,-322.000000
-16.286557,-0.561238,-336.000000
-15.991115,-0.509143,-350.000000
-15.691846,-0.530070,-364.000000
-15.406529,-0.622775,-378.000000
-15.152114,-0.781751,-392.000000
-14.880222,-0.908537,-385.000000
-14.594905,-1.001242,-378.000000
-14.295636,-1.022169,-364.000000
-14.000194,-0.970074,-350.000000
-13.726130,-0.848053,-336.000000
-13.452066,-0.726032,-336.000000
-13.156624,-0.673938,-350.000000
-12.857355,-0.694865,-364.000000
-12.557766,-0.679164,-357.000000
-12.262324,-0.627069,-350.000000
-11.975432,-0.539358,-343.000000
-11.718282,-0.384847,-329.000000
-11.444218,-0.262826,-336.000000
-11.148776,-0.210731,-350.000000
-10.849187,-0.195030,-357.000000
-10.553745,-0.142936,-350.000000
-10.254476,-0.163863,-364.000000
-9.969159,-0.256568,-378.000000
-9.714744,-0.415544,-392.000000
-9.481600,-0.604340,-399.000000
-9.209708,-0.731125,-385.000000
-8.915220,-0.788368,-371.000000
-8.615631,-0.772667,-357.000000
-8.328740,-0.684956,-343.000000
-8.033297,-0.632861,-350.000000
-7.734028,-0.653788,-364.000000
-7.434759,-0.674715,-364.000000
-7.139317,-0.622621,-350.000000
-6.852425,-0.534909,-343.000000
-6.565534,-0.447198,-343.000000
-6.265945,-0.431497,-357.000000
-5.970502,-0.379402,-350.000000
-5.671233,-0.400329,-364.000000
-5.371644,-0.384629,-357.000000
-5.076202,-0.332534,-350.000000
-4.802138,-0.210513,-336.000000
-4.528075,-0.088492,-336.000000
-4.254011,0.033529,-336.000000
-3.958569,0.085623,-350.000000
-3.663127,0.137718,-350.000000
-3.363857,0.116791,-364.000000
-3.078540,0.024086,-378.000000
-2.824126,-0.134890,-392.000000
-2.615728,-0.350692,-406.000000
-2.407331,-0.566494,-406.000000
-2.152916,-0.725470,-392.000000
-1.867600,-0.818175,-378.000000
-1.568330,-0.839102,-364.000000
-1.272888,-0.787007,-350.000000
-0.998824,-0.664986,-336.000000
-0.762421,-0.480288,-322.000000
